,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
523,0,0,599,436,-0.256684601,2.422912598,41,4,1,0.030409001,11.79199982,1.549999952,0.082000002,44.44792292,-63.72401039
525,0,0,367,217,-4.004650116,4.508822918,19,10,0,0.012013443,11.08600044,0.967999995,0.107000001,44.4285569,-64.13007822
526,0,0,425,518,-1.164880633,2.319135189,16,14,2,0.040134106,10.69400024,0.66900003,0.039999999,44.41176866,-64.25899709
528,0,0,529,664,0,0.746029258,17,12,2,0.04394687,11.48900032,1.023000002,0.064000003,44.41091052,-64.25106601
529,0,0,NA,NA,-1.821707249,3.028718948,14,17,2,NA,10.52499962,0.592000008,0.034000002,44.41005723,-64.27126879
537,0,0,479,438,-2.362084627,0.493998587,11,5,1,0.001393646,15.93599987,1.286999941,0.054000001,44.40062509,-64.29743544
538,0,0,389,404,-1.66107893,1.221991539,11,2,1,0.000848887,18.60199928,3.003999949,0.086999997,44.3994131,-64.32070249
540,0,0,NA,NA,-1.21914053,NA,15,5,1,0.000781733,16.23699951,2.14199996,0.045000002,44.39958793,-64.27763466
541,0,0,554,528,-1.21914053,0.510254979,15,2,3,0.000882509,14.44200039,3.127000093,0.086999997,44.39970542,-64.26708901
543,0,0,NA,NA,-1.249619007,NA,15,5,1,0.000561475,15.02000046,2.720999956,0.098999999,44.39869193,-64.27322015
545,0,0,93,147,-3.554250002,3.117757082,14,5,0,0.206291586,12.23099995,0.90200001,0.145999998,44.399417,-64.20643084
546,0,0,369,281,-2.118256569,4.400085926,12,3,1,0.001470025,14.85700035,1.480999947,0.083999999,44.39829832,-64.28024358
553,0,0,NA,NA,-1.813471556,1.750447273,15,4,1,NA,13.86699963,2.349999905,0.130999997,44.39496055,-64.26874449
556,0,0,336,271,-2.514477253,2.759481907,11,4,1,0.001175811,15.83600044,1.194000006,0.101000004,44.39091426,-64.29238698
557,0,0,409,294,-2.133495808,3.917162895,13,3,3,0.001448755,14.0170002,2.319000006,0.441000015,44.39114607,-64.27173818
561,0,0,484,525,-1.55440414,0.154909506,10,0,1,0.000834808,20.41399956,2.190999985,0.037,44.38314855,-64.31023086
562,0,0,351,314,-1.950624824,3.396424532,11,0,1,0.001219749,16.7329998,2.012000084,0.072999999,44.38340833,-64.28738855
